Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.53-211.249.219.23-64439-443-6,192.168.0.53,64439,211.249.219.23,443,6,20/07/2021 05:25:27,3473,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.8065073423553,1736.5,2403.4559492530752,3436.0,37.0,37.0,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,40,20,575.8710048949035,287.93550244745177,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,517,15,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-192.9.10.4-59294-53-17,192.168.0.53,59294,192.9.10.4,53,17,20/07/2021 05:32:15,2875,2,1,96.0,187.0,48.0,48.0,48.0,0.0,187.0,187.0,187.0,0.0,98434.78260869565,1043.4782608695652,1437.5,2024.4467145370857,2869.0,6.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,16,8,695.6521739130435,347.82608695652175,48.0,187.0,82.75,69.5,4830.25,0,0,0,0,0,0,0,0,0.0,110.33333333333333,48.0,187.0,0,0,0,0,0,0,2,96,1,187,-1,-1,1,8,0,0,0,0,0,0,0,0,No Label
192.168.0.255-192.168.0.35-137-137-17,192.168.0.35,137,192.168.0.255,137,17,20/07/2021 05:27:00,1535750,3,0,150.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,97.6721471593684,1.9534429431873679,767875.0,73765.37941338064,820035.0,715715.0,1535750.0,767875.0,73765.37941338064,820035.0,715715.0,0,0,0,0,0,0,0,0,0,24,0,1.9534429431873679,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,0.0,0,0,0,0,0,0,3,150,0,0,-1,-1,2,8,0,0,0,0,0,0,0,0,No Label
192.168.0.53-192.9.10.4-64557-53-17,192.168.0.53,64557,192.9.10.4,53,17,20/07/2021 05:33:30,6009055,16,0,704.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,117.15652461160698,2.6626482866274315,400603.66666666674,828608.5684171013,2002574.0,3.0,6009055.0,400603.66666666674,828608.5684171013,2002574.0,3.0,0,0,0,0,0,0,0,0,0,128,0,2.6626482866274315,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,46.75,44.0,0.0,0,0,0,0,0,0,16,704,0,0,-1,-1,15,8,0,0,0,0,0,0,0,0,No Label
192.168.0.53-211.231.99.250-61386-443-6,192.168.0.53,61386,211.231.99.250,443,6,20/07/2021 05:27:00,3377,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.2416345869115,3377.0,0.0,3377.0,3377.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,296.12081729345573,296.12081729345573,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,32,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-211.249.219.27-54934-443-6,192.168.0.53,54934,211.249.219.27,443,6,20/07/2021 05:32:53,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,40,0,666666.6666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,515,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-192.9.10.4-55330-53-17,192.168.0.53,55330,192.9.10.4,53,17,20/07/2021 05:25:13,19770,1,1,45.0,206.0,45.0,45.0,45.0,0.0,206.0,206.0,206.0,0.0,12696.004046535154,101.16337885685383,19770.0,0.0,19770.0,19770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,50.58168942842691,50.58168942842691,45.0,206.0,98.66666666666666,92.95339333952974,8640.333333333332,0,0,0,0,0,0,0,0,1.0,148.0,45.0,206.0,0,0,0,0,0,0,1,45,1,206,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
192.168.0.59-239.255.255.250-60366-1900-17,192.168.0.59,60366,239.255.255.250,1900,17,20/07/2021 05:28:28,2969821,4,0,692.0,0.0,173.0,173.0,173.0,0.0,0,0,0,0,233.01067640103562,1.3468825225493388,989940.3333333334,59124.627105237065,1024380.0,921670.0,2969821.0,989940.3333333334,59124.627105237065,1024380.0,921670.0,0,0,0,0,0,0,0,0,0,32,0,1.3468825225493388,0.0,173.0,173.0,173.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,216.25,173.0,0.0,0,0,0,0,0,0,4,692,0,0,-1,-1,3,8,0,0,0,0,0,0,0,0,No Label
192.168.0.53-104.18.11.215-61106-443-17,192.168.0.53,61106,104.18.11.215,443,17,20/07/2021 05:28:59,157955,8,11,2464.0,4127.0,1350.0,45.0,308.0,446.4910813378983,1200.0,23.0,375.1818181818182,463.85942227830583,41727.07416669304,120.28742363331328,8775.277777777777,15113.740171682328,54305.0,0.0,157955.0,22565.0,30797.094668166344,84814.0,171.0,127039.0,12703.900000000001,22481.19456320969,55742.0,0.0,0,0,0,0,64,88,50.64733626665822,69.64008736665505,23.0,1350.0,397.04999999999995,487.9575558547992,238102.57631578948,0,0,0,0,0,0,0,0,1.0,417.94736842105266,308.0,375.1818181818182,0,0,0,0,0,0,8,2464,11,4127,-1,-1,7,8,0,0,0,0,0,0,0,0,No Label
192.168.0.58-239.255.255.250-55036-1900-17,192.168.0.58,55036,239.255.255.250,1900,17,20/07/2021 05:33:57,2969589,4,0,696.0,0.0,174.0,174.0,174.0,0.0,0,0,0,0,234.37586817569704,1.3469877481361898,989863.0,59089.85172599437,1024071.0,921632.0,2969589.0,989863.0,59089.85172599437,1024071.0,921632.0,0,0,0,0,0,0,0,0,0,32,0,1.3469877481361898,0.0,174.0,174.0,174.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,217.5,174.0,0.0,0,0,0,0,0,0,4,696,0,0,-1,-1,3,8,0,0,0,0,0,0,0,0,No Label
