BPS,PPS,Cnt_Multi,Src_Dst_Entropy,Mean_interval,Q1_interval,Q3_interval,Skew_interval,Class
4.5078125,49,19,2.7809553955795403,0.004919285676917251,9.5367431640625e-07,0.0065000057220458984,1.8934504795989833,Normal
9.41796875,25,9,1.82524346094136,0.008828725814819336,9.5367431640625e-07,0.0002090930938720703,2.3778846485631076,Normal
4.3359375,46,20,2.7431261993788176,0.0049041924269303035,9.5367431640625e-07,0.0008375048637390137,2.3432860966296962,Normal
4.732421875,58,24,2.903676121852004,0.003931588140027276,9.5367431640625e-07,0.0012454390525817871,3.9644664624965436,Normal
2.037109375,24,10,1.9715607645104178,0.010211586952209473,9.5367431640625e-07,0.0038303136825561523,2.1135526733439236,Normal
1.890625,20,14,1.9899913100731526,0.008581697940826416,9.5367431640625e-07,0.0037598013877868652,2.4244831403197873,Normal
3.876953125,39,27,2.547523815226112,0.007209466053889348,9.5367431640625e-07,0.007555484771728516,3.490052236490147,Normal
2.818359375,34,10,2.2262113613097068,0.007659736801596249,9.5367431640625e-07,0.014122724533081055,1.313225646571651,Normal
2.82421875,35,33,1.7901461022414418,0.0064205714634486604,9.5367431640625e-07,2.1457672119140625e-06,5.60226607795391,Abnormal
7.8369140625,40,28,2.6569760834448704,0.00708242654800415,9.5367431640625e-07,0.004834890365600586,2.5286457896025523,Normal
2.80078125,27,27,2.319292609410454,0.00857747925652398,9.5367431640625e-07,0.00232851505279541,4.169024387013285,Abnormal
0.75,7,7,1.0042424730540764,0.015295982360839844,9.5367431640625e-07,0.014348387718200684,1.6019920972731145,Normal
5.783203125,66,42,2.710593263910209,0.004020528359846635,9.5367431640625e-07,0.00043082237243652344,2.6704478508114033,Abnormal
3.412109375,35,22,2.5000965851114363,0.008287457057407924,9.5367431640625e-07,0.006670475006103516,3.2275569042551977,Normal
2.123046875,20,10,2.154783153373369,0.013219451904296875,9.5367431640625e-07,0.0023722052574157715,2.1870098811556615,Normal
10.2734375,60,20,2.2776245057865943,0.004493749141693116,9.5367431640625e-07,4.476308822631836e-05,3.2344002622754893,Abnormal
127.732421875,256,24,1.589040145127743,0.001071522943675518,9.5367431640625e-07,0.0007016658782958984,11.464905857818554,Abnormal
4.37109375,51,21,2.585507515556294,0.0055188992444206685,9.5367431640625e-07,0.0006425380706787109,3.118716350178553,Normal
0.896484375,12,6,1.6326309271543518,0.01752340793609619,1.6689300537109375e-06,0.025169432163238525,1.5246623940152109,Normal
5.20703125,58,36,2.5059027069894135,0.004637463339443864,9.5367431640625e-07,0.0003783106803894043,2.808361069144479,Abnormal
13.6396484375,106,19,3.652952622917924,0.002770509359971532,9.5367431640625e-07,0.00021761655807495117,5.0494949815238614,Abnormal
3.68359375,29,9,2.2254090484878417,0.007098551454215214,9.5367431640625e-07,0.011974096298217773,1.7727501460146617,Normal
3.556640625,41,35,2.1390682302184834,0.00541868442442359,9.5367431640625e-07,0.0036590099334716797,2.8470348303710487,Abnormal
1.83203125,16,16,1.9486295057386989,0.009369120001792908,9.5367431640625e-07,0.001276552677154541,2.7737325754843627,Normal
3.390625,38,22,2.419216051108553,0.0067936558472482785,9.5367431640625e-07,0.002846658229827881,3.0456709414810943,Abnormal
1.46484375,19,14,1.885764280765558,0.011713002857409026,9.5367431640625e-07,0.0012499094009399414,1.9930719747819325,Abnormal
9.021484375,56,30,2.588578885762522,0.004111822162355695,9.5367431640625e-07,0.003275275230407715,2.0861206840244257,Abnormal
2.861328125,31,19,2.3488915655424085,0.00876806628319525,9.5367431640625e-07,0.009980559349060059,2.1708563281301556,Abnormal
1.529296875,17,9,1.762314710836667,0.012090767131132238,9.5367431640625e-07,0.003245115280151367,3.393702670908221,Normal
3.677734375,41,35,2.3221422876105033,0.005637703872308499,9.5367431640625e-07,0.0035238265991210938,2.859897022844889,Abnormal
2.16796875,25,15,2.3033795051939387,0.010339193344116211,9.5367431640625e-07,0.001383066177368164,2.413346658790239,Normal
2.962890625,34,16,2.399298876547071,0.0065459644093233,9.5367431640625e-07,0.0003057718276977539,2.6433268208730762,Normal
7.248046875,40,26,2.1371156980249113,0.007046228647232056,9.5367431640625e-07,0.0016287565231323242,3.3470019489213207,Abnormal
4.154296875,39,23,2.645449071886852,0.006781254059229142,9.5367431640625e-07,0.005471944808959961,2.57392504849415,Normal
2.658203125,29,15,2.3688188099830025,0.008887134749313881,9.5367431640625e-07,0.006069183349609375,1.6764067255919821,Normal
10.271484375,56,8,2.8492350266891995,0.005099300827298846,9.5367431640625e-07,0.0004584789276123047,4.0534240993674295,Normal
16.88671875,171,75,3.5840955408480184,0.0016909649497584293,9.5367431640625e-07,0.0002614259719848633,4.558188311832886,Abnormal
3.5,44,15,2.6178261469138824,0.006002978845076127,9.5367431640625e-07,0.0011692643165588379,2.6320140044201668,Normal
1.447265625,16,12,1.981332514723983,0.013870060443878174,9.5367431640625e-07,0.020433008670806885,1.3455441214629218,Normal
9.9140625,76,21,2.957495454877173,0.003936999722530967,9.5367431640625e-07,0.0009386539459228516,3.373967899749182,Abnormal
3.521484375,40,16,2.514437947247455,0.0059592962265014645,9.5367431640625e-07,0.0038571953773498535,3.2113283804628647,Abnormal
3.7734375,24,18,2.1808078187068767,0.009553670883178711,1.1920928955078125e-06,0.007797181606292725,3.545831136841244,Normal
23.50390625,64,8,2.8804694994091986,0.00439092144370079,9.5367431640625e-07,0.002156853675842285,5.705425250509283,Abnormal
3.931640625,41,33,2.7744611861061896,0.006038485503778225,9.5367431640625e-07,0.0037560462951660156,2.2386993529758747,Abnormal
